id,created_at,workflow_id,business_key,status,message,account_a,account_b,amt,a16229_code,a16229_msg,a16220_code,a16220_msg,a16229_rollback_code,a16220_rollback_code
1,2026-08-17 07:31:27,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,100,100,成功,100,成功,,
2,2026-08-17 07:31:27,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,100,100,成功,100,成功,,
3,2026-08-17 07:31:27,saga2-transfer-workflow,A123,FAILED,業務失敗或 API 錯誤,A123,B123,30,999,AMT必須大於50,,,,
4,2026-08-17 07:31:27,saga2-transfer-workflow,A123,ROLLED_BACK,AMT > 500 觸發 saga 回沖 (LIFO),A123,B123,600,100,成功,100,成功,100,100
5,2026-08-17 07:31:27,saga2-transfer-workflow,A123,ROLLED_BACK,"A16220 業務失敗,僅回沖 A16229",A123,B123,2000,100,成功,999,AMT必須小於1000,100,
6,2026-08-17 07:31:27,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,500,100,成功,100,成功,,
7,2026-08-17 07:31:27,saga2-transfer-workflow,A123,ROLLED_BACK,AMT > 500 觸發 saga 回沖 (LIFO),A123,B123,501,100,成功,100,成功,100,100
8,2026-08-17 07:31:28,saga2-transfer-workflow,888894_S,SUCCESS,交易成功,888894_S,X,100,100,成功,100,成功,,
9,2026-08-17 07:31:28,saga2-transfer-workflow,888894_F,FAILED,業務失敗或 API 錯誤,888894_F,X,30,999,AMT必須大於50,,,,
10,2026-08-17 07:31:29,saga2-transfer-workflow,888894_R,ROLLED_BACK,AMT > 500 觸發 saga 回沖 (LIFO),888894_R,X,600,100,成功,100,成功,100,100
11,2026-08-17 07:31:29,saga2-transfer-workflow,888894_P,ROLLED_BACK,"A16220 業務失敗,僅回沖 A16229",888894_P,X,2000,100,成功,999,AMT必須小於1000,100,
12,2026-08-17 07:31:29,saga2-transfer-workflow,A123,ROLLED_BACK,AMT > 500 觸發 saga 回沖 (LIFO),A123,B123,501,100,成功,100,成功,100,100
13,2026-08-17 07:31:29,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,100,100,成功,100,成功,,
14,2026-08-17 07:31:29,saga2-transfer-workflow,A123,FAILED,業務失敗或 API 錯誤,A123,B123,30,999,AMT必須大於50,,,,
15,2026-08-17 07:31:29,saga2-transfer-workflow,A123,ROLLED_BACK,"A16220 業務失敗,僅回沖 A16229",A123,B123,2000,100,成功,999,AMT必須小於1000,100,
16,2026-08-17 07:31:29,saga2-transfer-workflow,A123,ROLLED_BACK,AMT > 500 觸發 saga 回沖 (LIFO),A123,B123,600,100,成功,100,成功,100,100
17,2026-08-17 07:31:29,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,500,100,成功,100,成功,,
18,2026-08-17 07:34:27,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,100,100,成功,100,成功,,
19,2026-08-17 07:34:27,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,100,100,成功,100,成功,,
20,2026-08-17 07:34:28,saga2-transfer-workflow,A123,FAILED,業務失敗或 API 錯誤,A123,B123,30,999,AMT必須大於50,,,,
21,2026-08-17 07:34:28,saga2-transfer-workflow,A123,ROLLED_BACK,AMT > 500 觸發 saga 回沖 (LIFO),A123,B123,600,100,成功,100,成功,100,100
22,2026-08-17 07:34:28,saga2-transfer-workflow,A123,ROLLED_BACK,"A16220 業務失敗,僅回沖 A16229",A123,B123,2000,100,成功,999,AMT必須小於1000,100,
23,2026-08-17 07:34:28,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,500,100,成功,100,成功,,
24,2026-08-17 07:34:28,saga2-transfer-workflow,A123,ROLLED_BACK,AMT > 500 觸發 saga 回沖 (LIFO),A123,B123,501,100,成功,100,成功,100,100
