id,created_at,workflow_id,business_key,status,message,account_a,account_b,amt,a16229_code,a16229_msg,a16220_code,a16220_msg,a16229_rollback_code,a16220_rollback_code
1,2026-08-17 07:31:27,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,100,100,成功,100,成功,,
2,2026-08-17 07:31:27,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,100,100,成功,100,成功,,
6,2026-08-17 07:31:27,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,500,100,成功,100,成功,,
8,2026-08-17 07:31:28,saga2-transfer-workflow,888894_S,SUCCESS,交易成功,888894_S,X,100,100,成功,100,成功,,
13,2026-08-17 07:31:29,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,100,100,成功,100,成功,,
17,2026-08-17 07:31:29,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,500,100,成功,100,成功,,
18,2026-08-17 07:34:27,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,100,100,成功,100,成功,,
19,2026-08-17 07:34:27,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,100,100,成功,100,成功,,
23,2026-08-17 07:34:28,saga2-transfer-workflow,A123,SUCCESS,交易成功,A123,B123,500,100,成功,100,成功,,
25,2026-08-17 07:34:29,saga2-transfer-workflow,69724_S,SUCCESS,交易成功,69724_S,X,100,100,成功,100,成功,,
